source_code,source_term,source_frequency
RAD_AAVN,ABLATIE AVRT (WPW) + NARCOSE,44
RAD_ZH00005055,Bepalen longvolumina met bodyplethysmografie,44
RAD_ZH00005440,Transjugulaire Leverbiopsie,44
RAD_0000005153,Therapie I131 TB SPECT (LD) 100-150-200 mCi inn,44
RAD_ZH00005245,duplex controle veneus OL/B,44
RAD_91,biopsie + 1 x immuno,44
RAD_1823,CB-MFM,44
RAD_0000008628,Studie: niet ten laste van patiënt,44
RAD_0000005154,Therapie I131 TB SPECT(LD) 100-150-200 mCi scan,44
RAD_ZH00000232,CT Arthro Enkel Rechts,44
RAD_FCTDWZ,Facetinfiltratie DWZ,44
RAD_ZH00000668,SPECT-CT Schouder Rechts,43
RAD_PERI,PERICARDPUNCTIE,43
RAD_INFWBCCT,"WBCscan, autologe merking, low CT",43
RAD_VPMV,VVI_PACEMAKER-VERVANGING,43
RAD_ZH00000410,MR Pancreas Non Coöperatief,42
RAD_T_CSCHR,CT Schouder Re,42
RAD_ZH00000024,CR Sterno-Claviculair Gewricht Links,42
RAD_ZH00000402,MR MRCP Non coöperatief,42
RAD_ZH00000113,CR Urethrografie,42
RAD_AATCN,ABLATIE LINKER ATRIALE TACHYCARDIE CARTO + NARCOSE,42
RAD_AVTCN,ABLATIE VENTRICULAIRE TACHYCARDIE (CARTO) + NARCOS,42
RAD_SB2I5,2 x superbiopsie + 5 immuno's,42
RAD_CA2V,CA2V,42
RAD_0000008535,CR Arthro Heup Links (CT),41
RAD_T_CBVOER,CBCT Voet Rechts,41
RAD_PTAVV,PTA viscerale vaten,41
RAD_T_CPOLL,CT Pols Li,41
RAD_PFON,PFO-SLUITING + NARCOSE,41
RAD_ZH00000492,MR Pediatrie Hypofyse,41
RAD_ZH00000246,Conebeam Hand Rechts,41
RAD_ZH00000366,MR Craniale Zenuwen - Nervus Trochlearis,40
RAD_ZH00000452,MR Pols Arthritis Rechts,40
RAD_CAR4-OLD,UNIL-FPS-C,40
RAD_ZH00005246,diagnostische pleurapunctie,40
RAD_KMD3I2,KMD3I2,40
RAD_CS00000274,0. Functieonderzoek t.b.v. HCK,40
RAD_ZH00000372,MR Spectroscopie,40
RAD_GB2I4,Gewone biopsie 2x + 4 immuno's,40
RAD_T_CENKL,CT Enkel Li,39
RAD_DUSA,Duplex controle arterieel letsel,39
RAD_FLEBOGRA,A.JODI,39
RAD_T_CVOEL,CT Voet Li,39
RAD_ZH00000666,SPECT-CT Sacro-Illiacale Gewrichten,39
RAD_ZH00005520,VVI-pacemakerimpantatie,39
RAD_ZH00005413,Ascites punctie (adhoc),39
RAD_0000008530,CR Arthro Elleboog Links (CT),39
RAD_FISTULOG,KL,39
RAD_DUPLEXAB,Duplex abdomen / Tx / pelvis,39
RAD_T_MRNIER,MRI Nieren,38
RAD_ZH00000223,CT Arthro Elleboog Links,38
RAD_WILGENST,Wilgenstraat,38
RAD_TEL1,TELERX SCHEDEL 1CL,38
RAD_CA2IM4,Cytologie andere 2x + 4x immuno,38
RAD_CAR5,Bil-fp,38
RAD_102,vriescoupe + 2 controles,38
RAD_ZH00000058,CR MFM / Orbita Links,38
RAD_PABSDR,Percutaan inbrengen catheters ,38
RAD_NMR CERV,NMR CERVICALE OF,38
RAD_T_CDWZ+,CT Dorsaal +,38
RAD_CAV3,Bil-fp-v new,38
RAD_0000008771,MR Whole Body Myeloom/Prostaat/Botmetastasen,38
RAD_ZH00005109,"CT HART - Aortaklep calcificaties (-,+)/EKG",37
RAD_HSCOPIE,Hysteroscopie,37
RAD_1591,PUNCTIE LEVER,37
RAD_CHSO,Cholangio via sonde,37
RAD_ZH00000245,Conebeam Hand Links,37
RAD_T_CL8BA,ColonB,37
RAD_INFWBC,"WBCscan, autologe merking",37
RAD_ZH00005015,EMG single fiber,37
RAD_0000008673,CRT ICD implantatie + narcose,37
RAD_0000008802,Duplex-Dopler A/V Onderste Led. + Echo Abdomen,37
RAD_ZH00000499,Punctie - Vacuumgeassisteerd Borst op Echo + Clip,37
RAD_C,Cervicaal,37
RAD_ZH00000539,Pre-SIRT,37
RAD_T_CCWZ+,CT Cervicaal +,36
RAD_SB2I6,2 x superbiopsie + 6 immuno's,36
RAD_ECHO TRA,ECHO TRANSVAGINAAL,36
RAD_0000008675,MR Voorarm Links,36
RAD_1510,AORTA + BENEN,36
RAD_PNIE,Punctie nier,36
RAD_0000008824,Studie: niet ten laste van patiênt,36
RAD_N7680,POORTKATHETER,36
RAD_ZH00000227,CT Arthro Heup Links,35
RAD_VA,Vasculaire Acces,35
RAD_0000008685,TEN-test,35
RAD_0000008733,MA Operatiestuk (zonder voorafgaande mammo),35
RAD_T_MRPLBR,MRI Plexus Brachialis,35
RAD_513,1 VC + 3 x immuno,35
RAD_ROTA,ROTABLATOR,35
RAD_ZH00000489,MR Pediatrie Hersenen Neonaat <3mnd,35
RAD_ABDS,Abdomen Studie aortaverkalking,35
RAD_CAV3-OLD,BIL-FP-V,34
RAD_T_PUR1,Biopsie retroperitoneaal +,34
RAD_COC,COC,34
RAD_VERT-OLD,VERTEBRALIS 1 OF 2,34
RAD_T_PUAS,Ascitespunctie,34
RAD_TJLB,transjugulaire leverbioptie,34
RAD_AVKFCRN,ABLATIE VKF (CRYO) + NARCOSE,34
RAD_ZH00000556,Botdensitometrie,34
RAD_ZH00000667,SPECT-CT Schouder Links,34
RAD_ZH00005504,Lead revisie,34
RAD_ZH00000377,MR Orbita Neuritus Optica,34
RAD_T_EVOET2,Echo Voet Bilateraal,34
RAD_T_CNIER,CT NIEREN,34
RAD_B1169,DATSCAN,34
RAD_ZH00000353,MR Hersenen Sinustrombose - (zwanger),33
RAD_TARTR,Arthrografie TIELT,33
RAD_LSP,Longperfusie SPECT,33
RAD_ZH00000533,PTC + Externe drainage,33
RAD_ZH00000251,Conebeam Voet Links,33
RAD_VERT,Vertebralis 1 of 2,33
RAD_ZH00000404,MR Bijnieren Standaard + Angio,32
RAD_T_AAA,Aortaboog,32
RAD_ZH00005010,Duplex,32
RAD_ZH00000237,Conebeam Stomatologie,32
RAD_T_B1,gewone biopsie,32
RAD_T_CBSCH,CBCT Schedel,32
RAD_CRTPMI,CRT PM-IMPLANTATIE,32
RAD_LAAN,LAA CLOSURE + NARCOSE,32
RAD_ZH00000338,MR Cardio Pericarditis,32
RAD_EMBN,EMBOLISATIE NEURO,32
RAD_DUPL LED,DUPL LEDEM + AND STR,32
RAD_ZH00005471,Ablatie linker atriale tachycardie  CARTO+ narcose,31
RAD_ZH00005530,ABLATIE VES CARTO,31
RAD_CS00000109,NO nasaal,31
RAD_CHOL: VI,CHOLAN,31
RAD_0000008862,LuPSMA cyclus 1 injectie,31
RAD_0000005160,Total body scan I123 SPECT/CT (low dose CT) inj,31
RAD_T_CBPOLL,CBCT Pols Links,31
RAD_ZH00005227,Onderzoek 30 minuten,31
RAD_0000005161,Total body scan I123 SPECT/CT (low dose CT) scan,31
RAD_0000008807,MR Guided Biopsie van de Borst,31
RAD_TMRAB,MRT hals/thorax/abdomen/bekken,31
RAD_T_CBPOLR,CBCT Pols Rechts,31
RAD_0000008566,CR Schedel 3D rotationele fluoroscopie,31
RAD_CAV2,Unil-fps-v new,31
RAD_ZH00005507,Pericardpunctie,31
RAD_0000008539,CR Arthro Pols Links (CT),31
RAD_ZH00000541,Embolisatie Aneurysma Onderbuik,31
RAD_ZH00005553,LAA Closure + TEE + narcose,31
RAD_BMCK,Botdensitometrie,30
RAD_B1107,LYMFOGRAFIE,30
RAD_0000008863,LuPSMA cyclus 1 scan Dag1,30
RAD_T_PUP1,Pleurapunctie +,30
RAD_ZH00005531,VKF-ablatie (CRYO) + narcose,30
RAD_THOR,Thoracoscopie,30
RAD_REVIMP,LOOP RECORDER - IMPLANTATIE,30
RAD_ZH00005462,Leverbiopsie,30
RAD_T_CENKR,CT Enkel Re,30
RAD_ZH00000418,MR Uterus Pre Embolisatie Myomen Groot,30
RAD_WMRMA,MRW mammae,30
RAD_ZH00000090,CR Diafragmakoepels,29
RAD_SBGB,Superbiopsie + gewone biopsie,29
RAD_T_ERCP1,ERCP Z Papilotomie,29
RAD_SCAN,RX Scanometrie,29
RAD_IMRMA,MR mammae IZEGEM,29
RAD_ZH00000096,CR Transit,29
RAD_T_ETEEN1,Echo Teen Unilateraal,29
RAD_ZH00000335,MR Cardio Stress-Perfusie,29
RAD_M210,kl.macro + kl. micro + kl. macro + kl. micro,29
RAD_0000008864,LuPSMA cyclus 1 scan Dag6,29
RAD_CSMDP,Echo Prof.M. De Pauw,29
RAD_CS00000020,Stressecho,29
RAD_AORTA T+,A.JODI,29
RAD_ECVA,transvaginale echo,29
RAD_ZH00000365,MR Craniale Zenuwen - Nervus Oculomotorius,29
RAD_ZH00000540,SIRT,29
RAD_42,heelkundige behandeling van oude luxatie van elleb,28
RAD_LIMPL,LEAD IMPLANTATIE,28
RAD_B1116,RENO MAG3,28
RAD_ZH00000450,MR Pols Scaphoid AVN Rechts,28
RAD_ZH00005509,loop recorder explantatie,28
RAD_ZH00000059,CR MFM / Orbita Rechts,28
RAD_1580,PUNCTIE ASCITES,28
RAD_0000008540,CR Arthro Pols Rechts (CT),28
RAD_ZH00005562,TEE conversie,28
RAD_ZH00000531,TIPSS,27
RAD_T_CELLL,CT Elleboog Li,27
RAD_LR,LEAD REVISIE,27
RAD_ZH00005357,QC Quality Control CR,27
RAD_3,biopsie 3x,27
RAD_0000008568,Lymfangiografie + embolisatie,27
RAD_AAB1,Sel. 1 adb. arterie,27
RAD_AAN,ABLATIE AVNRT + NARCOSE,26
RAD_DUPLEXOL,Duplex onderlste ledematen,26
RAD_TH1IDW,Thorax 1cl IDEWE,26
RAD_T_CJC,RX Co Jugcath,26
RAD_ZH00005211,Stemvorkproeven,26
RAD_T_COLPO,colpocystodefecografie,26
RAD_ZH00005198,Echo lidmaat (adhoc) E,26
RAD_CAR3,Unil-fp-ie,26
RAD_ZH00005483,CRT ICD-vervanging,26
RAD_97,heelkundige behandeling van pseudarthrose van femu,26
RAD_CATR,RECHTER HARTCATHETERISATIE,26
RAD_AAB1-OLD,SEL.1 ABD.ARTERIE,26
RAD_0000008876,MR Schouder INDIRECTE arthro Rechts (I.V.),25
RAD_ZH00000545,RFA/microwave ablatie,25
RAD_DICDVN,DDD ICD-VERVANGING,25
RAD_B1159,LEUCOCYTEN TOMO,25
RAD_0000008661,CR Cysto-Defaeco-Peritoneografie,25
RAD_0000005128,Nierscintigrafie met DMSA volw inj,25
RAD_VIRCOS,Vir. Colonscopie voor studie,25
RAD_ZH00000376,MR Orbita Visuele Banen,25
RAD_TRAK,TRAK,25
RAD_VBIM3,Vriescoupe + 3 immuno's,25
RAD_T_MRAAIL,MRI Aorta Iliacaal,25
RAD_ZH00005485,CRT PM-implantatie + narcose,25
RAD_ZH00000216,CT Rotatiemetingen,25
RAD_ZH00000623,Nierscintigrafie met DMSA SPECT,25
RAD_B1115,DMSA,25
RAD_LAPCYST,Laparascopie cystectomie eierstokken,25
RAD_MRABI,MR hals/th/abd/bekk IZEGEM,25
RAD_ZH00005418,Duplex halsvaten en vertebrales (adhoc) D,24
RAD_FLDY-OLD,FLEB.DIALYSEFISTEL,24
RAD_T_MRLWZ+,MRI LWZ Operatie,24
RAD_CAV2-OLD,UNIL-FPS-V,24
RAD_ZH00005481,CRT ICD-implantatie,24
RAD_ZH00005183,PM controle adhoc,24
RAD_ZH00000226,CT Arthro Pols Rechts,24
RAD_1311,SMD TRANSIT,24
RAD_CAV1-OLD,UNIL-FP-V,24
RAD_T_MRFEMR,MRI Femur Re,24
RAD_ECHO PAN,ECHO PANCREAS/MILT,24
RAD_LAVH,L.A.V.H. (lap. Geassist.vag.hysterectomie),24
RAD_T_CBVOEL,CBCT Voet Links,24
RAD_TPM,TIJDELIJKE PACEMAKER,24
RAD_B1151,EJEKTIE FRACTIE,24
RAD_T_PFNSCH,FNAC Schildklier,24
RAD_THY,Therapie Yttrium,24
RAD_ZH00000225,CT Arthro Pols Links,23
RAD_MD TRANS,SMD TR,23
RAD_503,3 x immuno,23
RAD_T_MRONBR,MRI Onderbeen Re,23
RAD_0000008569,Total body scan I123 SPECT/CT (low d CT) scan 24u,23
RAD_ZH00000060,CR Sinussen,23
RAD_ZH00000449,MR Pols Scaphoid AVN Links,23
RAD_ZH00005529,ABLATIE VES CARTO + narcose,23
RAD_1822,CB-DENTAL,23
RAD_T_MRORBI,MRI Orbitae,23
RAD_ZH00000536,Embolisatie Endoleak,23
RAD_ZH00000526,Embolisatie Bloeding Thorax,23
RAD_DLAPZB,Diagn. laparascopie zonder biopsie,23
RAD_KMGI4,Kleine Macroscopie + gewone biopsie + 4 immuno's,23
RAD_GALB-OLD,PERORALE GALBLAAS,23
RAD_ZH00000451,MR Pols Arthritis Links,23
RAD_PTA2,PTA 2 STENOSEN,23
RAD_SBD3I1,SBD3I1,23
RAD_T_FL2,RX Full Leg,23
RAD_ZH00000053,CR Full Spine Profiel,23
RAD_CAR5-OLD,BIL-FP,22
RAD_ZH00000584,Divertikel van Meckel scintigrafie (dynamisch),22
RAD_1725,SCH+TH+LGPM+ABDV+KL B,22
RAD_0000005139,Galzuurresorptietest (SehCat) inname,22
RAD_T_CPOLR,CT Pols Re,22
RAD_ZH00000250,Conebeam Enkel Rechts,22
RAD_T_ALID,Art Lidmaat,22
RAD_IM2,immuno 2x,22
RAD_ZH00000614,MAA voorbereidend onderzoek SIRT,22
RAD_LYSCSP,LYSCSP,22
RAD_T_OPP1,Opst Pyelogr 1,21
RAD_ZH00000369,MR Craniale Zenuwen - Nervus 9 tem 12,21
RAD_T_PUW1,Botbiopsie +,21
RAD_MAR2-OLD,KATHET.MEERD.ARTER,21
RAD_SMKI4,Supermakroscopie + kleine makroscopie + 4 immuno's,21
RAD_ZH00000249,Conebeam Enkel Links,21
RAD_GASP,Galliumscan + spect,21
RAD_ZH00000644,SIRT therapie,21
RAD_ZH00000425,MR CCD,21
RAD_SCAP,SCAP,21
RAD_0000005140,Galzuurresorptietest (SehCat) DAG 1,21
RAD_CU3,Cytologie urine-sputum 3x,21
RAD_TMRLM,MRT lidmaat,21
RAD_GB2I3,Gewone biopsie 2x + 3 immuno's,21
RAD_T_CELLR,CT Elleboog Re,20
RAD_ZH00000114,CR Nefrostomogram,20
RAD_LPESPCT,Longperf SPECTCT low dose,20
RAD_0000008871,CT Orbita met contrast,20
RAD_ZH00005519,VVI-ICD vervanging,20
RAD_CAV1,unil-fp-v new,20
RAD_TIPS,Portacava Shunt new,20
RAD_ZH00000558,Schildklierscan Tc99m (LDCT),20
RAD_ZH00005046,Diagnostische arteriografie a. abdominalis,20
RAD_ZH00005302,Veneuze Duplex Bovenste Ledematen,20
RAD_THP,Therapie Fosfor 32,20
RAD_SAA,onderzoek Arcadis Avantic,20
RAD_SMD3I2,SMD3I2,20
RAD_RECO,Reconversie,20
RAD_ZH00005362,QC Quality Control CT,20
RAD_0000008889,CT Thorax-Abdomen Prelevatieprotocol,20
RAD_0000008756,Echo Barbotage Schouder Rechts,20
RAD_CAR1,Unil-fp-c new,20
RAD_EMBOL. V,A.JODI,20
RAD_CRTICDVN,CRT ICD-VERVANGING,20
RAD_0000008663,Conebeam Elleboog Rechts,20
RAD_STEN,stentplaatsing,20
RAD_ZH00005473,Ablatie AVRT (WPW) + narcose,20
RAD_T_EPOLS2,Echo Pols Bilateraal,19
RAD_T_MRFEML,MRI Femur Li,19
RAD_B1133,VENTIL PERF MET 1 TOMO,19
RAD_FLEB1,Flebografie 1 lidmaat,19
RAD_ECG,E.C.G.,19
RAD_T_CWT,RX CWZ Trauma,19
RAD_BYSK,Bijschildklierscan,19
RAD_ECGB,ECGB,19
RAD_ZH00000633,Sentinel Maligne Melanoma SPECT/CT (low dose CT),19
RAD_0000005141,Galzuurresorptietest (SehCat) DAG 8,19
RAD_1675,CALCIUM SCORE,19
RAD_TCMO,Tc 99 - molecule,19
RAD_OCTREOCT,Octreotide scan met SPECT en low CT,18
RAD_KMSBI1,Kleine macroscopie + superbiopsie + 1 immuno,18
RAD_S98,gr.macro + gr.micro + 4 immuno's,18
RAD_ASDS,ASD-SLUITING,18
RAD_EMBOL. A,A.JODI,18
RAD_PYE2,Bilaterale pyelo,18
RAD_1706,ECHO PANCREAS/MILT,18
RAD_ECAO,Echo oarta retroperitoneum,18
RAD_SMSB,Supermakroscopie + superbiopsie,18
RAD_0000008718,Pacemaker VVI AdHoc,18
RAD_T_MRABDB,MRI Bovenbuik,18
RAD_ZH00000252,Conebeam Voet Rechts,18
RAD_VBSB,Vriescoupe + superbiopt,18
RAD_ZH00000586,Speekselklierscintigrafie,18
RAD_T_EMBY1,EMB + glob art + 1x selectief,18
RAD_T_MRONBL,MRI Onderbeen Li,18
RAD_SIRTMAA,MAA voorber. ondzk,17
RAD_1315,CHOL: VIA DRAIN,17
RAD_MR1010,MR Defaecografie,17
RAD_T_MDT,Maag-Du-Tran,17
RAD_AJMAL,AJMALINE TEST,17
RAD_ZH00000325,DX Botdensitometrie beide Heupen,17
RAD_1664,CT WERVEL 1 (6),17
RAD_CBCTMSK,CBCT musculoskeletale toepassing,17
RAD_0000008897,MR Thoraxwand,17
RAD_T_ZDUMMY,zdummy,17
RAD_T_CBENKR,CBCT Enkel Rechts,17
RAD_DEFVKF,DEFIBRILLATIE VKF,17
RAD_T_MRASCH,MRI Arthro Schouder Rechts,17
RAD_0000008620,coronaro + biopsie,17
RAD_ZH00005475,Ablatie hisbundel,17
RAD_DLAPMBC,Diagn. laparascopie met biopsie of cytologie,17
RAD_ZH00005039,Dobutamine stress echocardiografie,17
RAD_TRANSIT ,SMD TR,17
RAD_ZH00005524,VVI-Pacemakervervanging,17
RAD_T_CBENKL,CBCT Enkel Links,17
RAD_T_CHANR,CT Hand Re,17
RAD_0000008754,CT Schouder Rechts ZIMMER ONE,17
RAD_ZH00000072,CR Arthro Enkel Links,16
RAD_ZH00000494,MR Pediatrie Abdomen,16
RAD_PBOT,Punctie bot,16
RAD_FLEB2,Flebografie 2 ledematen,16
RAD_ZH00000133,CT Hersenen Pre-Radiotherapie,16
RAD_GBD1I3,GBD1I3,16
RAD_ZH00000326,DX Botdensitometrie heup Links,16
RAD_0000008624,Ajmalinetest,16
RAD_ZH00000544,Embolisatie Varicocoele/ Vena ovarica,16
RAD_RBC,RBC - volume,16
RAD_0000008598,Plaatsen Tenckhoff-catheter,16
RAD_CBMFM,Conebeam mfm,16
RAD_ZH00000327,DX  Botdensitometrie heup Rechts,16
RAD_MB2GB,2x minibiopt + gewone biopsie,16
RAD_RXDEF,Rx defecografie,16
RAD_ZH00005598,VKF ablatie CARTO + flutter ablatie + narcose,16
RAD_KMGB2,Kleine Macroscopie + 2x gewone biopsie,16
RAD_T_H1,Histochemie,16
RAD_T_EELL2,Echo Elleboog Bilateraal,16
RAD_1709,ECHO BEKKEN MANNELIJK,16
RAD_ZH00000615,HIDA FRL dynamisch en SPECT/CT (low dose CT),16
RAD_0000005129,Nierscintigrafie met DMSA volw scan,16
RAD_0000008717,PM controle ADHOC,16
RAD_TMRMA,MRT mammae,16
RAD_0000008555,Slaapregistratie polysomnografie Torhout,16
RAD_DENS1500,NULL,16
RAD_AH,ABLATIE HISBUNDEL,16
RAD_ECHOLI,Echo LIDMAAT,16
RAD_ZH00005295,Arteriële Duplex Bovenste Ledematen,16
RAD_ZH00005477,Ablatie Ventriculaire Tachycardie (Carto) + Narcos,16
RAD_M201?,kl.macro + kl.micro : gegev. opvr.,16
RAD_ZH00005535,coronarografie + FFR,15
RAD_KMGI1,Kleine macroscopie + gewone biopsie + 1 immuno,15
RAD_T_CCAR,CT Hart,15
RAD_0000008511,Ablatie AVNRT + narcose,15
RAD_0000008859,CT Thorax Controle Dialysekatheter,15
RAD_1602,DRAINAGE ABCES,15
RAD_0000008547,CT Heup Materialise Links,15
RAD_VICDVN,VVI ICD-VERVANGING,15
RAD_0000008870,CT Orbita zonder contrast,15
RAD_PORTA,Poortkatheter,15
RAD_RENA,NIERANGIO,15
RAD_ZH00005484,CRT PM-implantatie,15
RAD_T_POCH,Postop Cholangio,15
RAD_ZH00000103,CR Peritoneografie,15
RAD_CAD2I2,CAD2I2,15
RAD_PTA,Angiodil.zond.bal,15
RAD_T_MRAAA,MRI Angio Abd Nierv,15
RAD_T_MRSIN,MRI Sinussen,15
RAD_CA2IM3,cytologie andere 2x + 3 immuno's ,15
RAD_VBIM2,Vriescoupe + 2 immuno's,15
RAD_AVESCN,ABLATIE VES CARTO + NARCOSE,15
RAD_ZH00000519,Punctie Wervel,15
RAD_1606,DILATATIE PERCUT,15
RAD_ZH00005405,CT TPS Extremiteiten,15
RAD_LEXT,LEAD EXTRACTIE,15
RAD_ZH00005577,rechts links met TAVI protocol,15
RAD_GB2I2,Gewone biopsie 2x + 2 immuno's,15
RAD_ZH00000532,Chemo-embolisatie,14
RAD_CAR3-OLD,UNIL-FP-IE,14
RAD_SMD3I3,SMD3I3,14
RAD_T_EHAN2,Echo Hand Bilateraal,14
RAD_ZH00000192,CT Coronaro,14
RAD_APUL-OLD,PULMONALIS ANGIO,14
RAD_ZH00005533,SUBCUTANE  ICD implantatie + narcose,14
RAD_ZH00000443,MR Elleboog Nervus Ulnaris Links,14
RAD_T_DSCH,Duplex Schedel,14
RAD_ZH00000082,CR Thorax Face Arbeidsgeneeskunde,14
RAD_PS,PTA Subclavia,14
RAD_IARTR,RX ARTHROGRAFIE IZEGEM,14
RAD_KM2GB,2 x kleine Macroscopie + gewone biopsie,14
RAD_SB2I8,2 x superbiopsie + 8 immuno's,14
RAD_PTHY,punctie thyroid,13
RAD_T_PUDR-1,"DRAIN, plaatsen Pigtail, ECHO/CT aanrekenbaar",13
RAD_ZH00000122,MA Mammoscreening Links,13
RAD_9017,BOBBY,13
RAD_CS00000036,72 uurs holter,13
RAD_ZH00005205,Botboorbiopsie (adhoc),13
RAD_ZH00000529,Embolisatie Aneurysma Bovenbuik,13
RAD_1723,URINAIRE ECHOGRAFIE,13
RAD_0000008548,CT Heup Materialise Rechts,13
RAD_IABP,INTRA-AORTALE BALLONPOMP,13
RAD_CS00000160,EEG na slaapdeprivatie,13
RAD_T_TRX1,RX TELERADIOGRAF,13
RAD_SBD3I3,SBD3I3,13
RAD_ZH00000071,CR Arthro Knie Rechts,13
RAD_TIPSS,A.JODI,13
RAD_KMGI3,Kleine Macroscopie + gewone biopsie + 3 immuno's,13
RAD_MRMAI,MR mammae IZEGEM,13
RAD_ZH00005658,LuPSMA therapie STUDIE scan,13
RAD_1726,DUPL LEDEM + AND STR,13
RAD_DEFVTVF,DEFIBRILLATIE VT OF VF,12
RAD_ZH00005098,Lymfescintigrafie bovenste ledematen fase 1 en 2,12
RAD_THSIRT,SIRT Therapie,12
RAD_T_PUDR,PUNCTIE DRAINAGE,12
RAD_MF1,Materiaal Forfait PCI zdr cor stent,12
RAD_CBDENT,Conebeam Dental,12
RAD_T_STEREO,Stereotaxie,12
RAD_B1302,MIBI2TOMOS1DAG,12
RAD_ZH00005397,Diagnostische arteriografie bovenste ledematen,12
RAD_202,makro + 2x biopsie,12
RAD_SB2I7,2 x superbiopsie + 7 immuno's,12
RAD_T_ERCPO,ERCPO,12
RAD_ZH00005657,LuPSMA therapie STUDIE inj,12
RAD_ZH00005099,Lymfescintigrafie bovenste ledematen fase 3,12
RAD_ZH00005596,Diagnostische EFO + looprecorder implantatie,12
RAD_ASA,ALCOHOLISCHE SEPTUM ABLATIE ,12
RAD_ZH00005460,Duplex abdominale vaten (adhoc) D,12
RAD_PDAR,PLAATSEN DARMKATHE,12
RAD_HIL,RX hiel li,12
RAD_VTS,VT-STUDIE,12
RAD_T_MRTEMP,MRI Temp-Mandiblr,12
RAD_ZH00005536,coronarografie postop + rechter hartkatheterisatie,12
RAD_SUBPUN,SUBCLAVIA PUNCTIE,12
RAD_VCF,VCF,12
RAD_ZH00000553,Botscan enkel injectie tracer,12
RAD_CAFI,PLAATS.CAVAFILTER,12
RAD_DPMIN,DDD-PACEMAKER-IMPLANTATIE + NARCOSE,12
RAD_MYCD,Myelo CWZ/DWZ,12
RAD_ZH00000419,MR Uterus Pre Embolisatie Myomen Klein,12
RAD_ZH00000585,Divertikel van Meckel SPECT/CT (low dose CT),12
RAD_0000008916,Punctie Borst Harpoenplaatsing stereotaxie,12
RAD_AVKFPN,ABLATIE VKF (PVAC) + NARCOSE,11
RAD_KMSI2,Kleine macroscopie + superbiopsie + 2 immuno's,11
RAD_HIR,RX hiel re,11
RAD_TBI131DI,Tot.body  I131 diagnost + SPECT/CT (lokalisatieCT),11
RAD_0000008662,Conebeam Elleboog Links,11
RAD_0000008708,Sentinel Cervix SPECT/CT (LDCT) inj,11
RAD_HSPCER,HersenSPECT met Ceretec GE,11
RAD_ZH00000444,MR Elleboog Nervus Ulnaris Rechts,11
RAD_T_AVISC2,TR Coel  AMS en/of REN,11
RAD_TBOT-OLD,TOMO BEENDEREN 4CL,11
RAD_0000008829,Holmium scout pre-therapie scan,11
RAD_TES,Testisscan,11
RAD_B1500,MELANOOM,11
RAD_32,heelkundige behandeling van acromioclaviculaire lu,11
RAD_0000008709,Sentinel Cervix SPECT/CT (LDCT) scan,11
RAD_ZH00005373,diagnostische gewrichtspunctie,11
RAD_T_MRCWZ-,MRI CWZ Hernia,11
RAD_ZH00005595,Wireless pacemaker (Micra),11
RAD_ALMP,Art. lidm. via naald,11
RAD_ZH00005549,Rotablator + PCI,11
RAD_REVEXP,LOOP RECORDER - EXPLANTATIE,11
RAD_T_TMG,RX Temporo-mandibulaire gewrichten,11
RAD_ZH00005534,Rechter hartkatheterisatie,11
RAD_T_PART60,Art Punctie K60,11
RAD_ERCP + E,CHOLAN,11
RAD_T_PULE-1,PUNCTIE LEVER MET ECHO of CT,11
RAD_T_CVOER+,CT Voet Re +,11
RAD_0000008755,Echo Barbotage Schouder Links,11
RAD_TEL2,TELERX SHEDEL 2 CL,11
RAD_T_EPA,Echo Pancreas-Milt,10
RAD_T_SCOPIE,Scopie (ORT),10
RAD_ZH00005494,DDD-Pacemakerimplantatie + narcose,10
RAD_ASDSN,ASD-SLUITING + NARCOSE,10
RAD_0000005156,Therapie I131 met TB SPECT/CT (LD CT) 30 mCi scan,10
RAD_0000008721,Late potentialen AdHoc,10
RAD_1318,CLYSMA DUBBEL,10
RAD_0000008692,Bloeddrukmeting,10
RAD_T_MRAATO,MRI Angio Thorax,10
RAD_ZH00000470,MR Knie Zimmer Rechts,10
RAD_0000008797,CR Virtopsie (CR Babygram),10
RAD_COR-1PTC,CORONARO & 1T PTCA 2 LETSELS,10
RAD_0000005155,Therapie I131 met TB SPECT/CT (LD CT) 30 mCi inn,10
RAD_BIOP,BIOPSIE,10
RAD_ZH00000579,Longperfusie SPECT,10
RAD_GB5,Halsted of Pattey,10
RAD_ZH00000670,SPECT-CT Elleboog Rechts,10
RAD_ZH00000469,MR Knie Zimmer Links,10
RAD_BOTD,alleen injectie,10
RAD_ERCA,ERCP ambulant,10
RAD_T_EUROD,Echo Uro Compl,10
RAD_T_COC,RX Coccyx,10
RAD_9051,PUNCTIE SCHILDKLIER CY,10
RAD_ZH00005102,Sentinel Cervix inj,10
RAD_103,heelkundige behandeling van pseudarthrose van clav,10
RAD_T_CHANL,CT Hand Li,10
RAD_M98,kl.macro + kl.micro + 4 immuno's,10
RAD_ZH00005492,DDD-ICD vervanging,10
RAD_LEXTN,LEAD EXTRACTIE + NARCOSE,10
RAD_104,heelkundige behandeling van pseudarthrose van onde,10
RAD_ZH00000073,CR Arthro Enkel Rechts,10
RAD_ZH00000371,MR fMRI Tinnitus,10
RAD_9066,ECHO ABD < 5 JAAR,10
RAD_T_CBELLR,CBCT Elleboog Rechts,10
